version,count,min,avg,max
3.8.3-RC1-bin-20260206-7d9042f-NIGHTLY,30,0,0.9667,5
3.8.3-RC1-bin-20260207-b47447b-NIGHTLY,10,0,0.8,4
3.8.3-RC1-bin-20260208-0fa0698-NIGHTLY,10,0,0.7,4
3.8.3-RC1-bin-20260209-c5506bd-NIGHTLY,10,0,1.1,5
3.8.3-RC1-bin-20260210-f9a3b90-NIGHTLY,10,0,1,5
3.8.3-RC1-bin-20260211-dd4d59d-NIGHTLY,10,0,1.1,5
3.8.3-RC1-bin-20260212-9907571-NIGHTLY,20,0,1,5
3.8.3-RC1-bin-20260214-f10f20d-NIGHTLY,10,0,0.9,4
3.8.3-RC1-bin-20260215-f10f20d-NIGHTLY,10,0,1.1,4
3.8.3-RC1-bin-20260216-fa26a2f-NIGHTLY,10,0,1.1,5
