version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,212.5,212.6,212.6
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,211.3,211.3,211.3
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,211.9,211.9,211.9
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,213,213,213.1
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,211.6,211.7,211.7
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,211.6,211.6,211.6
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,212.6,212.7,212.8
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,211.8,211.8,211.8
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,212.7,212.7,212.8
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,211.8,211.8,211.8
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,211.1,211.5,212
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,211.6,211.6,211.7
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,211.8,211.9,211.9
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,212.6,212.7,212.7
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,212.5,212.5,212.5
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,212.2,212.2,212.2
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,212.2,212.2,212.2
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,212.1,212.1,212.1
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,212.5,212.5,212.5
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,211,211.4,211.8
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,211.8,211.8,211.8
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,212.1,212.1,212.2
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,20,211.6,211.6,211.6
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,20,212,212.1,212.1
3.8.4-RC1-bin-20260318-61c882b-NIGHTLY,20,210.6,210.7,210.7
3.8.4-RC1-bin-20260319-2a84a92-NIGHTLY,20,211.7,211.7,211.7
3.8.4-RC1-bin-20260320-715b38a-NIGHTLY,20,211.5,211.6,211.6
3.8.4-RC1-bin-20260321-c486a97-NIGHTLY,20,211.8,211.8,211.8
3.8.4-RC1-bin-20260322-102c7c6-NIGHTLY,20,212.6,212.6,212.7
3.8.4-RC1-bin-20260323-16cd4d9-NIGHTLY,20,212.4,212.4,212.4
